,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
16,8390,6708,3898,28896,1340,32457,0,5892,4509,3461,1357,1478,15757,0,13618,447,20660,1522,13786,0,56,5468,1266,9180,3325,3063,1588,0,0,1514,8134,513,14,17540,3958,4455,2915,4802,2377,1378,1469,2003,1750,4342,0,0,288,0,2007,0,0,14127,1415,1990,116,0,2387,3367,3789,1435,0,635,807,664401,536,1311,1119,0,305,0,20057,4615,23003,1215,1,6975,782,0
17,0,337,288,837,60,3426,53,81,89,67,0,443,1263,0,702,78,969,0,2526,0,53,1485,578,1043,495,701,227,0,0,336,486,0,363,73,79,473,196,477,334,169,74,686,171,175,0,0,5966,0,562,0,0,244,133,406,1,0,771,377,549,22,0,0,137,39320,0,99,15,0,0,0,408,704,434,98,0,287,45,0
18,223,453,8,3149,196,18626,0,1544,831,242,0,2483,2313,0,4549,0,1055,337,6477,0,365,6849,2980,6164,2229,4929,109,0,3,699,1402,214,1862,1320,224,1279,1413,553,46,291,570,968,459,57,0,0,21800,0,3174,0,0,1772,2081,1511,0,0,5220,730,2535,108,0,0,187,111731,0,434,746,0,781,0,1884,2361,4404,147,0,1749,0,0
19,2810,1352,3505,25221,1445,31210,243,6671,2908,3141,1937,2941,10820,0,30984,55,12057,777,20002,897,1323,2490,1567,1972,140,1866,1444,0,686,1473,3632,0,3746,4143,1157,2687,12749,6087,2283,3426,8674,2424,3101,3961,0,0,21077,224,22859,0,0,3054,8042,6988,921,0,5547,4110,4609,3518,0,66,481,155354,724,1020,2091,204,400,0,5598,2982,5910,236,0,6131,420,0
20,17,9893,1328,2884,103,36726,3,3180,1272,919,528,3310,15282,0,3515,993,6842,424,15515,179,828,3863,1118,4675,1236,3390,10279,0,424,2943,2598,289,730,562,917,1621,2741,1758,4598,2781,0,2226,1670,2333,0,1,57480,1,16734,0,0,2275,4147,488,326,0,3519,1885,1816,1824,4084,404,745,504288,291,506,2,0,2,245,4708,4050,7494,2015,0,1054,6457,0
21,721,627,1214,7523,1590,45455,876,4518,1342,8334,547,5049,7185,0,20929,409,10758,68,8980,364,42,4725,1578,5468,1448,2361,774,0,0,1225,2250,0,2691,7648,5088,4614,11448,3218,931,674,3240,1602,3323,577,0,0,26670,0,10007,1,0,5789,8823,7470,274,0,8043,1973,3571,4044,0,1,0,598252,2280,964,1947,1,780,1,13806,8648,17796,2329,0,4433,978,0
22,4,781,816,11263,0,7972,0,389,335,6,572,109,2163,0,7481,0,3061,0,3065,0,91,2716,1008,2817,113,3690,716,0,0,489,935,0,318,717,40,1061,16,78,776,0,0,531,766,952,0,0,5,0,2305,0,0,1901,839,56,0,0,493,463,151,70,0,234,88,15045,385,187,601,0,521,0,2338,589,3916,311,0,2407,0,0
23,3149,2511,3471,28038,1235,47271,181,6062,890,3153,1285,2555,8495,0,32547,97,9721,568,12312,265,862,4134,2011,6286,907,4348,610,921,628,1616,8121,2,6965,3720,3121,719,9060,6135,1,2260,6941,1120,3849,4576,0,0,29031,0,24975,0,0,4389,4339,6925,93,0,9134,3968,10006,396,0,0,1288,134806,1396,1022,1942,4,842,0,12730,3875,12143,840,1,6690,0,0
24,2239,1410,3949,22546,956,27035,0,3810,2071,1794,62,2911,7430,0,20104,580,2421,505,6695,33,76,3630,821,4058,790,4137,1837,0,855,1341,3089,0,2818,5461,1279,1457,8610,3530,787,1201,3615,880,819,4931,0,2,44555,3,15088,0,0,1849,1495,4574,0,1,6942,4432,3915,2577,0,589,496,329234,129,1135,283,0,720,0,7827,3647,4166,2046,2,1230,491,0
25,6439,3961,2064,16075,2344,32655,0,944,3544,0,4436,1,9781,0,15999,0,15122,284,14106,564,0,12950,3419,13923,4172,6044,445,0,0,2110,1382,323,10,7481,85,2267,2496,5797,20,2330,0,1082,33,3396,0,0,283,3227,2085,2,0,6515,1447,0,3091,4,21,3025,4134,6584,1,0,66,553200,0,816,2383,0,1108,0,21711,4613,24187,1208,2,4208,0,0
