,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
17,2836,1050,2411,581,10,18,723,1286,889,903,1332,2356,72,59,2025,35,177,249,44,182,155,693,641,1321,444,677,628,41,96,1115,489,1381,63,8,249,11,295,388,1569,329,297,62,342,95,103,17306,197,888,1084,17,30,793,11215,14,587,1864,1480,410,114,76,126729,1383,14,63,125,462,1244,18,258,0,408,200,686,285,619,164
18,2186,457,2466,623,19,1,948,1209,1137,898,1847,2817,1,25,1986,2,3,383,0,14,370,743,301,1440,361,604,531,0,536,479,337,3242,0,0,262,5,95,849,2014,669,645,0,1018,2,3,20157,29,1538,886,0,0,795,22547,0,8,1831,1260,844,2,73,104738,1777,3,0,280,641,2964,26,530,0,408,3,185,212,811,141
19,1713,1316,4146,126,0,1,518,4016,2032,2284,5237,13469,0,383,4593,0,1,1568,0,0,683,2735,1837,2781,780,3829,1491,0,1166,1297,1026,2135,0,0,626,2,1086,612,1581,1874,410,0,3196,0,0,5312,3,2608,175,0,0,3045,14318,1,0,4148,3612,644,0,41,18425,1110,0,0,296,2270,5065,0,340,0,2813,0,619,165,1428,550
20,1198,150,1741,327,0,1,66,1114,2044,250,1717,2564,0,263,2087,0,1,787,1,48,132,2233,1410,2667,342,2091,390,0,145,554,530,661,0,0,451,2,81,127,646,97,250,19,440,0,0,35757,0,313,3096,0,0,3746,0,0,0,1448,763,179,0,0,7886,230,29,0,0,73,1083,1,497,972,124,0,503,0,614,36
21,1424,383,972,219,0,5,119,888,455,317,1526,919,0,77,853,0,1,301,0,128,333,316,224,489,128,461,337,1,161,662,80,1381,0,0,131,0,74,355,994,482,147,17,501,0,0,8665,173,368,1074,0,0,402,8116,0,0,662,505,247,1,0,126354,696,94,0,124,312,731,0,126,0,267,1,260,39,477,32
22,893,108,504,93,0,0,70,241,131,467,906,1067,0,32,578,0,0,330,0,36,77,201,180,265,194,169,154,0,105,280,137,580,0,0,71,27,39,70,118,93,69,1,164,0,0,2342,0,462,220,0,0,438,0,0,0,268,261,80,0,0,4002,894,4,0,21,321,265,0,129,942,135,0,136,11,332,11
23,10355,3118,0,775,0,0,805,0,0,890,2131,1992,0,1748,979,0,0,669,0,0,3937,7000,5138,7818,2242,8595,8071,0,0,1,1494,0,0,1,791,2,4664,2095,3222,1422,597,0,2745,0,0,20227,0,111,830,0,0,0,0,0,2,0,0,548,0,1,466016,2187,189,0,496,611,501,7427,985,0,2603,0,18732,3241,3453,479
24,23594,7286,0,2273,0,657,52,0,9,3115,1135,1678,0,1,11,0,0,1070,0,0,2118,10168,4176,7806,2026,8686,7179,0,748,0,252,252,1,0,316,0,8393,4361,7231,5152,526,880,1368,0,0,23779,1,0,826,0,0,0,0,0,0,0,0,2391,0,0,416776,3452,0,0,1,596,0,4189,1484,0,2521,0,29019,3523,3972,1012
25,968,315,424,244,0,0,238,624,986,793,1444,1884,0,25,781,0,17,122,0,80,107,163,77,410,72,220,331,0,186,275,120,524,0,6,168,24,73,210,425,274,111,4,604,0,0,10341,9,455,550,0,0,1472,0,0,0,506,1038,109,0,0,3682,611,1,0,46,312,742,0,214,983,155,0,134,27,174,51
26,3187,595,1486,818,0,1,674,1453,2261,1685,2562,3997,1,70,3953,0,1,626,0,26,216,163,291,404,43,285,1100,1,233,602,193,1849,0,0,620,2,86,392,972,925,244,69,859,0,0,18489,0,1077,987,16,0,2769,78,0,4,1487,1854,192,1,0,40573,1007,30,0,296,644,1644,0,613,4186,517,0,211,181,724,167
27,1825,552,1567,160,1,0,61,352,506,919,1367,2083,1,118,1431,1,1,218,0,69,49,299,207,519,167,273,148,0,48,361,161,744,0,0,22,4,139,230,682,279,127,41,841,2,2,4924,30,672,271,0,0,1112,4710,0,9,743,499,150,0,0,1655,444,0,0,46,469,747,1,122,0,188,1,78,2,634,55
28,1045,332,1067,75,2,0,169,0,30,470,849,1160,1,211,661,4,6,271,0,20,143,84,77,155,9,88,222,0,78,134,206,1091,10,4,0,1,193,1144,916,418,307,66,331,0,0,1062,96,537,955,12,18,100,5,31,25,0,58,173,0,69,90982,2107,19,19,138,400,962,491,282,0,190,44,965,135,798,116
29,5517,2031,4344,748,0,1,792,4680,4101,3345,8524,15689,0,1024,7194,0,0,1262,0,324,2371,1462,1320,1225,178,1148,2733,0,80,2257,1066,2975,7,0,852,1,745,1545,4143,3602,608,332,3155,0,0,17776,133,4994,1407,0,0,8605,41434,0,0,6949,6643,1662,0,254,22442,4773,126,0,186,2229,7001,0,1538,0,1711,0,1368,159,2544,587
30,1678,177,809,240,0,3,174,751,317,547,1396,1431,35,137,874,0,13,271,0,57,67,309,155,320,125,308,231,0,75,436,124,568,0,2,96,2,98,257,389,219,60,34,547,4,0,3398,37,598,626,1,0,737,5597,0,5,499,653,174,0,37,11885,1470,25,0,162,309,423,0,94,0,208,7,209,68,533,68
31,6450,1615,314,0,1,229,0,0,5,2019,1148,81,0,180,4689,0,76,319,0,0,2435,1471,900,2268,390,995,6998,0,225,648,320,3621,0,233,343,1,2753,1694,3692,1478,80,184,1515,0,0,2930,0,211,0,1,0,0,0,0,1,0,0,473,0,120,213349,318,203,0,220,545,0,1852,328,0,1559,1,4175,0,726,1261
32,1224,240,496,92,0,7,27,286,276,604,852,1675,0,27,1174,0,0,244,0,18,96,197,126,266,85,113,178,1,59,133,123,467,0,0,32,2,59,38,135,134,72,14,609,0,0,3594,0,261,182,0,0,975,595,0,1,527,269,66,0,70,2222,598,8,0,11,121,414,4,120,109,222,1,21,14,394,61
33,2171,1152,95,46,0,344,100,0,135,1901,397,372,0,48,5531,0,0,422,0,0,579,395,409,910,296,556,4113,0,26,277,553,1476,7,180,187,37,2357,1495,1876,1390,136,242,297,0,0,5696,0,249,0,0,0,0,0,0,1,0,0,186,3,80,162320,168,83,0,207,127,0,1133,64,0,1983,1,2989,0,1028,352
