,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
14,343,237,256,0,0,974,92,388,1211,5763,856,0,51,247,0,0,2912,0,871,0,0,65,632,3982,2234,3589,903,4095,878,58,385,56,4,525,2,112,0,13,0,984,645,9,12,155,1938,0,4506,1188,0,1,124,1353,3076,536,0,259,1461,0,0,0,1010,0,413,0,2151,370,0,0,38224,437,1,213,0,66,1,840,672,0,3327,0,1006,1,0,321,523
15,6870,2664,496,256,0,2757,1024,1800,5877,21375,3965,0,4237,1744,47,1,16428,9,3806,3,2,831,4900,4037,3182,4459,950,3362,3204,1,4485,2072,0,1324,2008,408,2583,2603,0,7870,2238,404,2771,2840,2271,4413,7363,4366,466,55,456,9031,17033,4299,3,457,14036,7,2,0,2323,0,1201,32,9559,1206,4,2,70523,8112,1,948,189,10860,4051,2043,1321,1,3539,6,9330,2292,4,1552,4907
16,7352,3888,1397,0,313,8131,1111,2838,5935,22293,3401,659,2073,845,1,0,20632,0,5985,201,0,296,9795,2530,1900,3555,557,2272,4519,0,5479,2340,8983,2230,4952,1059,234,1874,11,12534,2809,187,5652,2893,3506,1657,26607,5869,7899,2217,1819,10915,11993,2343,0,938,25476,0,0,0,6641,0,1231,2,16766,814,4,516,279732,2990,218,634,28,5727,2791,9318,3260,0,11799,3,8484,1693,1,2424,4084
17,3240,2968,1,0,0,36,831,762,1724,3911,2249,0,187,3367,0,0,4030,0,2598,0,0,131,7565,3302,1962,7873,751,2422,782,0,803,942,16195,525,489,0,321,572,0,1362,1403,975,1561,456,1474,1710,1475,569,2033,1386,25,3337,6453,1153,0,0,10797,0,0,0,1029,0,0,0,6466,130,0,412,91043,297,0,559,132,1868,1226,3475,655,0,838,1,2133,2107,0,827,14
18,8854,1828,716,6,169,298,942,1193,902,8873,1954,678,2338,2709,0,0,8564,0,2379,94,0,66,2784,1947,917,1903,625,1961,2762,0,1745,3515,6002,1891,1632,547,554,4015,0,4254,761,497,2771,1102,971,3980,8756,1493,1509,322,640,7672,13285,2351,0,526,13654,416,53,0,981,148,754,0,16646,79,84,0,143566,1138,213,622,316,2796,2110,4623,1188,0,1986,0,1847,1143,0,1166,2189
19,3089,699,204,0,0,1024,566,890,662,4286,420,0,3,698,0,0,1797,0,396,3,0,13,2626,1459,1386,2344,605,1649,734,0,1867,1031,2477,341,323,313,257,599,0,1012,417,357,1764,308,1720,1577,3663,921,953,435,134,3777,4686,730,0,297,3222,0,0,0,655,0,1,0,2521,63,0,77,75057,432,434,27,120,1874,674,3611,209,0,853,0,1063,750,0,482,1493
20,2653,1018,454,0,0,239,161,264,1910,9617,1591,0,205,217,0,0,3181,0,2461,0,0,47,1453,1656,1382,2212,727,2575,325,0,840,978,5135,817,638,93,1658,1608,0,1456,188,4,1317,291,604,933,1430,577,294,115,72,6077,10905,489,0,174,5848,0,0,0,767,0,219,0,4447,248,0,0,85787,279,0,237,10,706,935,1386,194,0,626,0,2349,645,0,298,821
21,11476,4294,2380,0,401,3720,1293,2130,1781,46060,9439,783,2347,2781,0,0,16733,0,4216,12,0,1479,24287,9087,4166,5241,2119,3780,2995,0,3700,3812,5418,1601,6201,2363,939,2395,0,3231,4766,425,4457,5980,6947,5011,28228,5332,7049,4175,1236,4753,9844,3715,0,718,27483,0,0,0,9288,0,640,0,17270,2455,0,1,474905,5366,727,337,2230,18144,6263,7488,4903,0,13203,0,18791,6023,0,4061,18970
22,1486,6,503,0,0,197,82,340,613,3241,488,0,112,944,0,0,1295,0,810,0,0,110,637,3394,1200,2389,543,1457,433,0,405,480,2269,185,873,196,44,284,0,276,529,369,1209,303,1764,1015,3251,270,1959,102,0,489,4789,1309,0,1,4608,0,0,0,217,0,323,0,3603,4,0,0,52686,461,0,38,0,1069,547,290,0,0,448,0,1428,296,0,394,830
23,2394,1915,585,0,96,641,640,225,547,11688,1820,0,1792,1419,155,0,3742,0,2696,40,0,228,3279,3413,203,3733,465,1541,1861,0,1495,605,783,939,1168,170,841,1635,0,2920,412,27,1620,870,326,1935,1981,631,318,591,214,2286,3079,720,0,182,2663,0,0,0,1425,0,1005,0,4532,746,0,198,146834,919,0,43,0,3017,4058,1188,1627,31,706,0,3713,2089,0,838,1446
