,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
16,2040,49,0,0,80,563,415,41,623,1806,673,0,2,0,1120,0,217,19,141,411,2511,448,683,183,1672,4341,416,1395,2134,153,85,584,0,177,252,1647,321,368,0,90,1,458,309,349,101,1153,260,166,1,292,1428,183,0,39,3469,1,1,552,1,1103,11,0,0,67146,214,179,419,320,3,1107,4,586,208,0,0
17,14,289,0,0,3,295,132,213,598,1511,496,1,283,69,454,1,443,124,0,38,1971,462,137,368,1677,2622,1,706,1802,336,118,91,0,0,88,152,89,412,27,217,0,1120,289,129,509,247,117,0,2,2064,1248,525,0,101,5,0,0,799,1,1367,15,0,0,5628,293,0,236,78,866,335,5,1091,71,0,30
18,508,25,0,0,258,740,36,58,669,1301,1048,0,54,1,1291,1,387,33,58,15,1850,213,470,197,1487,1472,327,285,1453,191,115,51,104,90,515,0,161,267,5,52,1,702,37,136,612,677,107,0,70,1578,3079,478,3,374,3429,3,0,135,5,332,150,0,0,3823,328,27,485,349,386,1158,0,385,254,0,132
19,3429,558,0,0,559,391,1044,394,494,3597,522,0,435,1,1158,0,729,892,227,133,984,110,117,87,766,1682,0,311,595,0,106,633,0,487,693,1076,363,257,164,1181,0,885,1378,742,538,3741,313,574,332,1512,2929,588,0,104,2530,1,0,278,1,1986,306,0,68,49079,952,1,4298,322,738,579,0,906,307,0,3174
20,459,1495,0,0,57,1455,115,229,375,1463,493,0,164,0,2112,0,337,123,89,1075,1911,116,0,73,583,1734,1,559,1212,14,65,424,0,148,294,5533,172,269,2,82,0,309,100,350,468,858,606,889,23,537,2448,192,0,27,3343,0,0,1916,0,808,127,0,0,18425,74,0,633,115,1042,992,1,1323,126,0,172
21,6042,2976,0,1,164,3156,621,405,420,4747,1828,0,1053,58,1929,0,2138,300,47,1103,1095,133,0,257,717,2146,581,186,1129,11,146,1399,11,2353,997,4151,299,303,0,528,0,1887,1178,499,1541,1656,893,281,123,4325,7818,709,1,702,1013,0,0,375,2,2087,477,1,2,104684,3962,0,3707,1840,1153,571,0,3266,2313,0,494
22,949,479,0,0,576,1234,564,231,167,2679,142,1,340,130,1344,0,791,803,95,1812,882,183,501,295,1489,2386,0,583,1734,538,213,372,0,262,928,4443,134,541,220,491,0,643,655,1304,798,1734,634,1116,415,565,3290,334,0,180,949,0,0,413,2,1918,377,0,0,33677,990,0,3065,611,974,275,0,1297,387,0,1203
23,1857,112,0,134,107,1294,445,479,915,2163,742,166,282,0,2375,0,535,247,115,270,1934,196,4,366,1553,1816,164,528,1199,115,46,877,0,722,531,0,466,288,0,382,0,1452,685,267,588,636,157,195,386,3119,5163,357,0,147,2955,0,0,517,0,2145,40,0,2,14239,323,0,1632,378,1435,1015,12,298,511,0,194
24,2873,513,2,0,561,1083,1031,141,510,8328,1644,238,336,0,4446,1,1080,2697,4,548,3206,430,296,470,1865,6602,1046,857,3059,617,154,931,0,1284,2225,283,64,78,507,75,0,416,904,451,1532,4854,878,806,285,2135,2522,1146,1,174,3183,3,0,874,4,2591,97,1,1,99025,521,12,2819,1663,1542,1023,4,1920,1209,1,596
25,1933,1300,0,468,3567,0,900,986,957,15132,1146,465,866,0,5186,0,490,0,251,1505,4521,605,0,697,2545,9670,792,2807,5840,1526,615,206,0,1959,625,1200,654,1662,603,200,0,1206,1277,1795,1185,5285,3118,2350,484,4141,5366,1609,0,1033,9259,0,0,315,0,5455,503,0,374,70809,5263,261,2441,1440,111,1035,0,5,395,0,2200
