,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
18,508,25,2,740,36,0,44,58,669,1301,1048,240,41,0,1,1291,295,387,33,58,15,1850,1487,1472,285,1453,51,90,515,0,161,267,160,102,76,702,72,50,37,136,612,677,107,0,1578,3079,478,3429,1,0,135,332,3823,0,328,46,485,349,1,0,0,386,1158,385,254,147,132
19,3429,558,0,391,1044,0,141,394,494,3597,522,1,358,0,1,1158,148,729,892,227,133,984,766,1682,311,595,633,487,693,1076,363,257,294,235,291,885,380,123,1378,742,538,3741,313,574,1512,2929,588,2530,58,0,278,1986,49079,1,952,123,4298,322,0,0,0,738,579,906,307,127,3174
20,459,1495,50,1455,115,0,17,229,375,1463,493,117,478,0,0,2112,32,337,123,89,1075,1911,583,1734,559,1212,424,148,294,5533,172,269,81,127,36,309,252,98,100,350,468,858,606,889,537,2448,192,3343,23,0,1916,808,18425,0,74,67,633,115,0,0,0,1042,992,1323,126,262,172
21,6042,2976,134,3156,621,0,82,405,420,4747,1828,217,1167,0,58,1929,246,2138,300,47,1103,1095,717,2146,186,1129,1399,2353,997,4151,299,303,219,513,466,1887,327,212,1178,499,1541,1656,893,281,4325,7818,709,1013,0,0,375,2087,104684,0,3962,0,3707,1840,0,0,0,1153,571,3266,2313,115,494
22,949,479,193,1234,564,0,371,231,167,2679,142,1,1298,0,130,1344,67,791,803,95,1812,882,1489,2386,583,1734,372,262,928,4443,134,541,0,84,310,643,642,233,655,1304,798,1734,634,1116,565,3290,334,949,190,0,413,1918,33677,0,990,0,3065,611,0,0,0,974,275,1297,387,238,1203
23,1857,112,570,1294,445,0,100,479,915,2163,742,3,898,0,0,2375,35,535,247,115,270,1934,1553,1816,528,1199,877,722,531,0,466,288,236,241,171,1452,175,0,685,267,588,636,157,195,3119,5163,357,2955,0,0,517,2145,14239,0,323,144,1632,378,0,0,0,1435,1015,298,511,212,194
24,2873,513,32,1083,1031,0,275,141,510,8328,1644,1,1269,0,0,4446,79,1080,2697,4,548,3206,1865,6602,857,3059,931,1284,2225,283,64,78,306,540,239,416,616,31,904,451,1532,4854,878,806,2135,2522,1146,3183,0,0,874,2591,99025,0,521,0,2819,1663,0,0,0,1542,1023,1920,1209,408,596
25,1933,1300,392,0,900,0,1914,986,957,15132,1146,396,880,0,0,5186,21,490,0,251,1505,4521,2545,9670,2807,5840,206,1959,625,1200,654,1662,316,318,248,1206,612,201,1277,1795,1185,5285,3118,2350,4141,5366,1609,9259,0,0,315,5455,70809,0,5263,0,2441,1440,0,0,0,111,1035,5,395,327,2200
26,394,10,0,0,9,0,0,165,530,1059,615,69,107,0,0,429,33,135,0,1,2,1623,981,1343,244,1626,190,290,117,1,16,250,108,91,67,231,26,2,127,244,114,594,207,1,1047,1065,181,20,4,0,66,165,2135,0,110,35,344,143,0,0,0,437,1075,42,49,87,45
27,11060,1815,313,2304,2428,0,523,2099,1606,24007,3007,691,737,0,576,13059,189,3038,2132,838,16367,3980,3849,8713,1061,6597,4942,3156,4219,1487,716,4606,162,1363,1910,1505,1761,834,697,2602,3673,6446,4886,23709,9703,16245,3911,6143,10,0,331,14879,135838,0,4360,0,6773,1108,0,401,0,3536,2620,7109,1817,1683,3100
28,14724,6380,326,0,381,0,2,4071,3154,32274,6368,2219,8778,0,648,18216,2057,8630,671,3,192,15431,6450,29071,2733,12612,4386,7775,5717,1,4079,2452,3081,5792,1499,14339,3296,0,9060,4531,7044,27946,992,0,25893,34665,5917,5817,0,0,1909,29158,153368,0,5889,1216,13825,6343,0,0,0,9669,7183,3460,4470,2779,16327
29,3048,2623,0,1150,48,1,134,331,769,2256,89,478,1239,0,0,1825,124,1639,286,82,1568,2521,1179,4654,876,1728,717,583,956,3276,691,892,216,104,988,1448,808,104,959,335,977,1813,219,1214,2268,3654,213,5331,1,0,2468,3478,52446,0,80,63,627,642,0,0,0,1779,643,2706,1137,267,8
30,405,2,104,0,0,0,1,4,401,361,429,12,0,0,3,1,95,204,362,490,0,4022,3369,6151,605,3256,76,0,0,1,263,40,149,334,9,0,1,115,38,26,459,0,224,1,0,3,26,4508,122,0,11,51,12827,0,4,89,1,0,0,0,0,1322,295,124,119,205,767
31,418,38,0,3,63,0,0,1,103,1012,1,1,179,0,0,1567,0,0,40,0,2,2949,3902,4969,1123,5257,14,5,320,0,0,8,1,2,0,2,0,32,0,427,172,64,1,0,401,1215,1,259,320,0,343,331,42482,0,523,0,632,180,0,0,0,68,901,891,81,134,713
32,419,2,0,1475,5,0,0,0,320,761,381,115,478,1,0,413,0,0,50,2,1589,2947,1610,2559,395,2534,234,41,684,1784,128,726,0,325,0,19,285,208,229,236,193,417,1,635,339,399,95,8669,0,0,1673,555,38104,1,199,1,1408,9,0,0,0,430,983,522,31,223,377
33,28064,16012,1815,25925,188,0,974,8745,7365,63652,15836,0,15343,0,1,35505,1598,9643,2707,4591,35199,10259,9826,10784,3990,8843,19340,11868,2002,19563,2941,12390,3501,5566,8800,23841,8939,677,5125,11032,17674,25617,5057,7995,7142,24257,7878,18158,0,0,21905,36986,124769,0,7312,3605,9468,18725,0,0,0,5223,11415,22440,2165,8509,14732
34,2757,548,0,615,40,0,79,625,596,3631,623,120,351,0,0,2621,321,398,152,261,138,2189,1857,3047,546,1471,416,600,453,4,316,441,73,146,968,622,44,73,932,339,348,944,571,103,750,3468,612,4384,146,0,172,902,22619,0,80,60,479,850,1,0,0,1312,1730,1523,640,152,612
35,1230,676,0,304,320,0,80,373,696,2535,1337,184,801,0,0,1590,51,772,0,1,16,2547,1699,3278,420,1868,980,259,282,3181,108,379,1,295,0,1875,754,443,323,89,215,722,391,199,836,1036,514,1399,2,0,802,450,13418,0,308,227,969,379,0,0,0,718,739,831,125,723,223
36,3700,12,0,168,570,0,0,1561,1795,4634,2150,5,1,0,0,2905,0,1090,3055,70,3818,2640,2081,3070,1044,950,1442,0,553,2237,2,676,1,0,1,3223,518,0,2,2,0,187,1,220,0,6545,1156,7527,1,0,0,2516,292991,0,288,0,0,1476,0,0,0,0,690,1066,76,338,0
37,508,14,226,37,391,0,1,303,88,1060,262,82,182,0,0,644,94,51,43,0,30,3008,928,2525,837,1646,1,0,592,1014,162,168,0,2,154,0,58,0,205,4,84,379,0,343,114,304,0,1045,0,0,79,2,84559,0,151,17,132,0,0,0,0,0,254,11,0,216,99
38,9726,2321,0,9271,1952,0,27,2047,2877,4808,2378,2,512,0,195,10378,633,2612,5269,2,15624,9266,7968,11538,3776,7526,4440,14,5962,19355,664,2903,5,829,672,882,763,688,1527,1055,2631,9374,924,13659,924,9266,1252,11817,0,0,743,6627,898749,0,5367,0,9509,2178,0,0,0,5123,3080,6758,2,1965,1028
39,3818,2739,125,999,322,0,26,113,383,3169,372,188,1322,0,0,788,0,913,1204,0,3749,2076,1015,1148,447,1808,626,0,1113,9119,134,345,41,541,151,587,726,188,768,434,104,167,167,2806,917,1263,27,889,0,0,340,580,41546,0,239,186,3354,620,0,0,0,469,144,1053,159,184,769
40,5981,748,765,586,2905,0,0,1947,2672,21684,2404,30,27,0,0,5222,1023,0,3229,2160,3,9207,5138,13456,2310,6667,4105,1300,1417,1,1909,1122,2,1881,886,3,381,4,4219,183,2008,17950,59,26,4012,6137,3611,9825,0,0,497,4669,346675,0,2483,0,5052,311,0,0,0,2979,4126,7800,1313,591,9
41,2900,4449,769,0,1296,0,971,469,1946,16023,1214,630,2399,0,0,7637,262,3949,0,1,0,6562,2284,9711,1088,4597,3889,3967,463,0,3357,1648,411,1132,316,4413,852,280,2119,6,3815,17337,3401,125,11863,4990,4166,6458,0,0,2760,12670,104875,0,3230,319,19588,543,0,0,0,9419,3838,990,1256,884,8939
42,14351,3339,2616,147,3892,0,1706,4603,2995,25986,3349,764,3003,0,0,19162,426,8773,19087,3,3602,11169,4645,15321,1375,11804,3849,0,3794,5819,2972,2607,1,2229,3665,4129,1378,1884,7102,6746,2819,10928,3200,14661,18073,16601,6038,8401,0,0,7477,9375,773808,0,9508,0,16632,6627,0,0,0,25,2022,2008,0,2244,5850
43,2958,2221,3827,1789,35,0,1450,1282,3351,37912,6846,227,4932,0,0,3629,1081,6572,12397,1,582,9369,3040,28338,2054,15387,8460,3576,5061,0,1950,2544,1243,1973,1375,5039,1891,1,8176,5676,3041,22531,5073,363,10148,27316,9360,11714,0,0,9785,18973,318130,0,22308,59,21560,2122,0,0,0,6028,5597,8588,1170,1502,4957
44,229,248,1,476,9,0,91,2,364,253,657,144,18,0,0,183,73,125,16,1,80,1624,798,2292,737,1806,443,250,211,1,141,254,29,346,92,220,0,55,113,166,201,232,241,0,1482,2369,135,40,0,0,15,206,3940,0,241,80,313,311,0,0,0,294,510,2,251,35,30
