,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
12,799,6992,1829,1297,910,43,731,80,1308,2162,16387,626,1382,2392,2011,1193,1145,7089,1694,1573,1197,1265,0,2868,1803,350,286,2175,4582,752,2444,2893,1014,854,340,1446,2362,629,597,1879,1235,1214,1739,1968,4016,4377,868,2448,578,1410,837,1271,710,2009,7585,2415,2285,255,1783,388,7366,10189,1099,7787,1946,1459,258,1584,1694,2403,231,4659,851,130499,1582,910,1420,28,1693,241,372,1798,1290,1336,541,699,318,602,2593,451,7255,531,3215,1480,997,1164,2678,1368
13,0,783,157,0,448,1,209,1,2,1173,250,1,3,0,49,1,1,536,272,0,206,3,1,2,3066,796,688,2480,6015,424,3953,114,0,0,0,715,0,0,71,2,167,301,2,505,769,5,123,420,0,237,249,660,0,308,0,2,0,1,53,0,859,1578,318,432,295,1,855,0,1,1124,0,197,0,3615,0,0,0,244,0,0,1,86,0,278,0,0,463,0,733,0,2054,867,524,319,101,0,15,0
14,508,1892,1054,329,876,1737,0,56,4,1191,9454,5,1197,2765,657,359,270,4632,37,1152,1230,292,0,28,3397,463,203,1852,3413,794,2250,792,540,0,321,851,409,513,1283,0,427,1134,1,555,1748,313,259,1078,0,694,381,334,577,520,5823,1882,61,69,299,0,2767,2995,215,7468,998,463,337,448,1669,175,578,2437,767,12573,512,579,495,944,930,556,786,1527,947,266,172,82,470,235,463,120,3416,324,1297,660,318,654,797,1484
15,6,1566,620,362,655,226,0,149,0,576,6621,218,788,381,225,192,317,2221,269,0,822,524,357,310,3657,668,613,3357,3013,863,2037,188,383,756,3,276,604,0,218,2,285,213,290,572,848,874,470,907,130,720,669,1036,677,406,3053,979,77,45,333,127,1577,2464,5,3229,530,157,168,221,394,319,0,2367,0,4520,1411,810,279,1,0,876,8,455,268,2,45,1,739,32,521,1178,1733,556,306,415,1207,261,565,0
16,182,912,503,0,0,995,318,319,400,669,6349,11,1656,395,179,19,755,2672,1889,1020,188,1079,887,1356,3539,458,890,2359,5274,385,2943,461,507,0,235,216,484,1164,655,1615,377,413,2,555,2304,36,1255,746,492,238,241,1715,315,311,2927,1301,604,575,641,373,1528,2044,564,4284,790,38,414,1448,0,545,452,2848,418,53056,2179,454,262,151,1373,326,302,293,240,549,12,370,315,303,250,624,1410,209,2386,152,266,628,645,504
17,2495,4534,2008,1027,1604,1575,178,140,2048,2007,20556,1559,2351,4185,720,1452,1556,15356,1184,1708,2027,191,403,10703,1918,359,417,1253,1873,380,3099,1774,508,782,736,1109,2031,443,1255,2075,1448,2539,722,2148,2403,2228,1021,2358,2302,1854,2047,1052,1264,1083,12422,2339,6633,1240,862,740,6840,6518,2132,7244,769,639,661,2572,3755,1174,957,8340,4498,145236,1918,3982,1274,877,1802,282,833,5548,530,1420,776,593,1491,1952,187,207,5446,586,4059,503,663,2146,1318,716
18,339,2752,796,950,1074,2632,1408,761,348,416,9840,769,1780,282,565,1204,439,6224,1275,1905,801,2801,0,1385,3361,571,677,3082,4187,988,2806,2112,830,769,471,873,672,697,2029,520,305,2299,552,591,2321,315,597,2178,0,753,714,1729,697,929,7511,514,314,1,551,1448,3153,6145,1426,6250,671,945,587,726,1314,313,782,3261,1584,121312,2505,2963,582,212,2917,171,874,2367,822,1086,1231,529,146,246,951,0,1705,1612,8649,1584,0,539,1281,1554
19,1514,12172,1016,3445,44,641,2920,2449,3380,3507,44425,7003,3750,3469,3556,770,646,16451,1454,4651,2753,3226,0,31936,9051,1377,995,6231,11967,1780,9022,5189,3043,6903,4746,2640,10376,3739,4423,2647,654,7907,1910,1698,2424,3437,1885,3409,15993,5005,3724,75,1381,730,14007,2692,18629,4671,2050,665,5581,15406,4154,16263,615,2003,2600,4902,1829,4167,0,10441,5083,165063,536,8285,9487,3266,6258,825,302,5855,2474,2139,1585,875,1828,1907,1,5187,7393,871,16783,400,739,967,10240,4127
20,1,1223,318,568,910,359,37,648,7,374,8914,109,2856,469,251,705,319,2909,445,1222,995,940,0,2208,3778,624,436,2167,4131,415,4382,596,504,428,334,735,867,0,1979,311,105,1275,33,1177,846,0,523,1477,1485,524,955,959,384,1374,5213,504,2322,390,260,347,1329,3418,657,3269,519,454,251,266,381,447,169,2702,971,96893,3266,1195,1929,768,963,264,532,826,940,624,263,0,287,235,435,336,2081,103,3896,1154,627,536,1308,999
21,1412,2451,1641,998,753,317,640,426,933,878,15055,1799,2736,3242,300,704,1105,5314,466,2004,982,2184,0,2039,4854,442,990,3942,5573,911,4524,3480,1004,357,502,172,1241,245,622,757,547,918,1377,1709,3492,218,1571,1111,2683,856,3771,1777,476,838,4001,1412,1911,200,363,1039,2657,3427,689,2313,977,1067,811,2380,1491,1438,2981,5763,1096,99694,1658,3506,1300,1238,3901,912,354,3354,1442,1326,701,0,713,1522,293,98,4225,656,3790,972,2638,398,6095,1054
22,631,3444,2126,0,1138,1524,1086,804,1375,477,8820,1071,1257,2307,486,33,915,7644,237,846,753,687,2983,7410,1728,288,277,1800,2942,459,2899,1824,1461,570,819,51,1177,1,351,2,201,546,479,604,502,912,1184,1485,542,1628,1079,1505,3,895,8661,944,2931,2606,260,896,647,2239,157,3094,697,593,456,547,912,459,532,3290,1511,73196,1029,2347,2325,1,654,572,351,2053,1821,957,716,1,335,383,986,1466,3086,993,1330,784,1590,649,513,1034
23,194,1327,622,879,285,241,0,257,461,782,4940,161,2068,1,564,497,152,5923,259,1843,447,46,297,992,1355,191,254,826,1432,544,1508,867,75,87,773,166,1025,0,433,3,645,574,526,1424,2183,255,686,666,30,411,167,420,622,1598,940,1221,0,28,202,249,2348,3300,674,5074,863,583,407,711,643,150,163,3838,976,10387,1922,2793,142,579,787,397,615,626,110,674,221,528,226,882,1016,256,1469,892,2098,604,380,365,449,664
24,349,715,1317,296,722,235,201,444,471,106,1476,366,1222,1,661,1054,992,1567,298,785,56,777,0,1635,1165,149,154,921,1809,396,1333,485,281,705,0,129,935,255,888,4187,107,195,235,414,242,1,397,1606,147,527,345,459,133,563,1384,241,801,795,366,433,1453,3240,220,2099,98,252,156,646,450,98,457,2287,102,34976,133,2201,288,852,642,578,361,1025,385,181,372,204,282,425,283,341,246,387,619,504,391,360,774,909
25,162,2808,323,1005,1247,28,0,652,2335,1289,13848,77,1155,3422,849,366,331,6084,359,1446,1244,921,0,15,3488,474,426,1750,4030,667,2469,2591,160,0,566,249,1841,387,768,99,249,737,439,850,1632,1426,506,783,1033,1543,432,617,196,503,6391,2029,632,0,1412,204,2031,3853,931,4232,1744,1083,427,235,452,433,0,3513,598,84910,1143,1575,814,206,310,445,440,2115,650,380,1631,330,726,736,312,723,3436,384,1600,775,682,927,1464,163
26,915,6847,1609,1051,974,2121,1229,931,877,1071,18799,4584,4467,928,756,2039,1573,9959,1928,1966,1338,5198,2568,17011,2715,458,210,1331,2992,405,2232,3292,1030,2543,1933,688,1480,941,1967,9149,840,1632,1006,1854,1053,771,1686,3008,1814,1324,2477,2156,510,1425,9015,2204,7238,1936,806,663,3629,7775,814,10788,2202,1016,784,1986,1140,1372,608,8019,1591,150036,2994,3923,2196,1574,1798,502,1633,3756,2132,1424,1190,708,885,572,695,2400,4482,1050,6450,2333,2255,1990,3732,1967
27,17,765,234,2,30,432,542,447,320,594,3114,1,613,151,0,322,182,1472,78,338,952,234,0,21,2857,549,281,1441,4322,221,3251,425,193,176,23,624,482,98,826,3,257,651,16,5,303,109,4,21,0,163,0,114,178,273,1647,138,146,1,0,114,1035,1156,23,2683,2,253,207,566,374,321,0,682,3,9655,223,312,41,1156,423,70,625,1052,393,559,280,0,88,256,88,4,579,0,466,394,67,140,287,225
