,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
16,8390,459,4213,6708,3898,28896,1340,32457,5892,3786,4509,3461,1357,1478,15757,13618,20660,2989,13786,1054,5468,1266,9180,3325,3063,1588,365,1514,8134,14,65,17540,3958,4455,2915,4802,2271,1378,1469,2003,1750,4342,4925,288,2007,549,840,1271,1085,14127,2617,1415,1990,0,2387,3367,3789,1435,1694,1209,807,664401,500,1311,3448,1119,820,20057,4615,2126,2842,23003,1112,6975,1444,1310
17,0,198,24,337,288,837,60,3426,81,17,89,67,0,443,1263,702,969,367,2526,196,1485,578,1043,495,701,227,0,336,486,363,0,73,79,473,196,477,109,169,74,686,171,175,101,5966,562,164,345,146,220,244,869,133,406,0,771,377,549,22,70,151,137,39320,10,99,313,15,69,408,704,22,2,434,483,287,87,111
18,223,1086,711,453,8,3149,196,18626,1544,894,831,242,0,2483,2313,4549,1055,419,6477,470,6849,2980,6164,2229,4929,109,1404,699,1402,1862,208,1320,224,1279,1413,553,77,291,570,968,459,57,0,21800,3174,1135,1704,3256,469,1772,2070,2081,1511,0,5220,730,2535,108,238,273,187,111731,1321,434,430,746,1270,1884,2361,3,565,4404,0,1749,887,605
19,2810,894,533,1352,3505,25221,1445,31210,6671,2114,2908,3141,1937,2941,10820,30984,12057,2402,20002,1979,2490,1567,1972,140,1866,1444,5244,1473,3632,3746,2146,4143,1157,2687,12749,6087,3267,3426,8674,2424,3101,3961,1486,21077,22859,2386,2247,3567,3718,3054,3014,8042,6988,0,5547,4110,4609,3518,2363,478,481,155354,3210,1020,2108,2091,3692,5598,2982,2580,2575,5910,3008,6131,742,880
20,17,331,454,9893,1328,2884,103,36726,3180,386,1272,919,528,3310,15282,3515,6842,3825,15515,1585,3863,1118,4675,1236,3390,10279,442,2943,2598,730,674,562,917,1621,2741,1758,459,2781,0,2226,1670,2333,686,57480,16734,302,2108,2633,937,2275,4545,4147,488,0,3519,1885,1816,1824,2730,1990,745,504288,692,506,301,2,1168,4708,4050,953,613,7494,4201,1054,2712,2502
21,721,2715,5624,627,1214,7523,1590,45455,4518,2373,1342,8334,547,5049,7185,20929,10758,3473,8980,2555,4725,1578,5468,1448,2361,774,3329,1225,2250,2691,1096,7648,5088,4614,11448,3218,2728,674,3240,1602,3323,577,330,26670,10007,417,2117,4979,640,5789,3957,8823,7470,0,8043,1973,3571,4044,1194,2574,0,598252,2458,964,2922,1947,931,13806,8648,0,3979,17796,2445,4433,4517,1210
22,4,0,0,781,816,11263,0,7972,389,2,335,6,572,109,2163,7481,3061,574,3065,383,2716,1008,2817,113,3690,716,0,489,935,318,455,717,40,1061,16,78,320,0,0,531,766,952,80,5,2305,359,21,269,490,1901,323,839,56,0,493,463,151,70,336,264,88,15045,299,187,166,601,1737,2338,589,0,0,3916,351,2407,65,36
23,3149,3310,2310,2511,3471,28038,1235,47271,6062,1597,890,3153,1285,2555,8495,32547,9721,2966,12312,4275,4134,2011,6286,907,4348,610,4350,1616,8121,6965,4608,3720,3121,719,9060,6135,929,2260,6941,1120,3849,4576,809,29031,24975,3746,1368,4609,1655,4389,3911,4339,6925,0,9134,3968,10006,396,1957,357,1288,134806,4131,1022,2437,1942,1366,12730,3875,636,1422,12143,1992,6690,1940,4010
24,2239,1703,2947,1410,3949,22546,956,27035,3810,1443,2071,1794,62,2911,7430,20104,2421,2145,6695,1894,3630,821,4058,790,4137,1837,2048,1341,3089,2818,1398,5461,1279,1457,8610,3530,2060,1201,3615,880,819,4931,1955,44555,15088,3965,2100,2141,2126,1849,1031,1495,4574,1,6942,4432,3915,2577,1770,928,496,329234,2087,1135,2227,283,629,7827,3647,1491,1712,4166,705,1230,1347,1716
25,6439,361,2117,3961,2064,16075,2344,32655,944,1446,3544,0,4436,1,9781,15999,15122,3246,14106,0,12950,3419,13923,4172,6044,445,337,2110,1382,10,1825,7481,85,2267,2496,5797,2999,2330,0,1082,33,3396,3742,283,2085,427,5083,308,712,6515,1072,1447,0,4,21,3025,4134,6584,1097,435,66,553200,116,816,6955,2383,460,21711,4613,908,586,24187,1754,4208,40,0
26,159,1,89,40,222,1004,256,7395,483,190,147,5,120,120,628,2763,1536,299,1541,117,1211,1088,1768,290,917,103,0,366,325,339,328,597,440,514,380,330,221,270,52,292,81,121,104,4,597,148,460,194,218,98,82,44,242,0,596,519,564,136,297,129,123,19995,13,15,350,142,278,480,861,0,75,375,498,567,289,3
27,2899,3215,351,1781,2830,18652,1761,29040,3797,1875,2278,5234,775,2271,5435,27589,8108,4548,12089,1598,2752,924,3666,211,2900,728,899,588,3198,5975,1731,5619,6510,650,6507,2281,1372,1009,5228,2642,1716,3152,1459,14448,17909,1177,1144,2789,1179,3954,3302,2988,2379,277,6116,1779,6150,3470,1274,368,1387,109314,823,355,1477,1352,2324,9192,4966,874,996,14024,1748,2815,2195,1590
28,1537,930,699,324,654,4101,765,11926,2482,1047,16,1572,596,1012,2980,6508,2097,1203,2831,930,1595,728,1912,552,1471,225,1217,359,1399,1533,241,2279,773,680,3463,600,343,918,2857,641,236,1129,1725,17751,4964,342,455,523,702,1519,1732,922,722,0,3986,1450,940,1630,546,697,497,103285,871,975,190,399,1307,6191,2256,466,825,1758,212,1836,543,290
29,1107,717,159,6590,1055,3736,6689,5726,1529,955,733,336,1848,1408,3365,5122,853,741,3690,825,585,628,1492,275,860,1308,762,8443,1254,1068,649,3042,1203,1769,1559,338,277,1067,827,2677,1853,207,358,15033,2296,322,629,1044,505,787,313,660,706,30775,1356,935,2984,1889,170,620,1476,144648,620,1881,810,1880,343,2425,1125,886,173,1976,520,693,373,316
30,2183,1978,0,828,836,9280,329,19342,4777,1287,860,1628,1293,1673,5104,17874,2730,1284,8748,2071,2935,1589,2760,866,1760,999,3881,738,2181,6084,4331,2639,4811,1444,9932,2762,1497,1441,4739,1524,890,1654,571,11101,8993,5,1176,1712,1552,5546,655,1332,3505,2,3192,3904,2847,1442,940,152,493,79242,1883,47,432,1701,1318,4085,3161,395,924,2339,725,2955,870,1182
31,0,13,1828,2941,0,4975,1634,50465,3688,30,4286,5053,808,1,2970,18993,15904,1728,12729,490,18509,3594,20621,2261,12873,1,0,3261,3619,5,0,2174,264,2452,1316,4,0,4035,1349,5095,179,0,6950,404,3091,1316,566,1750,424,6096,1605,1981,1838,2,2605,12,4808,3742,959,2970,30,477490,995,1208,2258,20,2114,16839,6639,1719,6721,18454,2,8153,2,0
32,7,429,2292,2981,0,15948,1121,30803,1982,542,4186,576,0,2112,7049,21530,15127,983,4980,1,8080,6559,19471,1758,9357,701,0,1488,2990,60,522,10042,1333,119,1578,777,1386,722,248,2758,828,3534,5466,11,4246,1078,0,918,1870,3550,3053,819,2658,1,3565,2613,3,2298,229,595,549,298638,1401,279,802,2418,4518,3985,1824,895,1334,7346,2624,5674,981,1057
33,3042,2093,2869,622,202,14119,2877,26149,7570,1850,3830,2920,199,1449,7351,13764,4119,2334,9815,3514,2850,1133,3370,474,3346,641,3127,615,2877,5057,467,5342,1657,1952,7770,1659,1036,1256,6241,857,60,2860,3043,26925,9121,1316,2383,1203,512,4197,4915,4026,3211,0,7325,1463,2468,1888,1931,3952,383,122886,5063,899,2461,1095,314,8700,9462,1648,6885,8200,2425,4607,869,2080
34,646,301,188,12,266,564,303,3498,1049,57,7,162,1,236,600,1465,406,24,1285,523,977,403,1046,321,1008,111,346,256,205,305,149,468,415,156,417,271,207,10,415,176,89,671,416,10059,590,1,57,355,233,251,37,273,257,1,932,229,192,278,194,242,338,37508,192,200,273,0,101,1749,528,0,61,700,2,234,110,1
35,3145,2305,1266,1583,2208,17474,2313,21468,6300,3708,2142,4181,1824,3259,6622,13895,5879,1687,10999,2662,2595,878,4893,768,2125,788,2664,878,3711,2564,2153,7011,3179,1578,7451,2537,2017,1869,3079,2120,995,1883,2364,9465,10498,1261,1893,1897,952,3329,1838,4263,3498,0,5633,3379,1935,2013,934,610,1172,109695,2012,177,2079,2675,2613,4873,2322,1114,1295,4972,1304,4488,695,997
36,80,1227,3,354,1016,12754,0,30410,1550,2895,3714,2371,1741,274,3644,17055,8170,3833,4738,0,7938,2184,15410,3947,5964,393,87,688,5499,623,1289,10080,2501,4186,812,4797,1772,2097,0,864,593,4,2599,1,3210,1067,1817,2067,1144,5449,1278,660,2361,1,4051,1911,345,3281,1257,2862,157,634814,676,2513,3708,1971,1525,13585,5361,0,914,9510,52,8426,1538,2020
37,690,917,710,1807,1626,8717,942,24414,1820,361,1562,1673,428,923,3526,14347,2084,553,5898,295,1260,736,1764,168,1490,397,440,651,1188,1036,164,2175,2609,1344,2118,1048,1723,565,528,1384,935,862,336,16001,2146,307,520,904,849,993,1085,973,1356,1,1639,2139,577,817,857,778,673,177851,1002,388,914,0,382,7448,1798,605,324,3791,675,1097,1178,645
38,1961,947,1413,7,1,26952,1540,68920,2676,694,1197,3151,86,2400,3760,23458,18156,2007,9975,842,11371,3645,15662,4202,7448,194,767,1004,4523,805,1091,10179,1319,6679,3716,4378,230,65,603,2816,1187,1802,1438,389,5122,1043,909,2957,2792,14516,1583,1290,3950,0,2000,504,6101,3179,1446,1732,2060,570990,1488,1311,1747,155,313,23948,3421,2506,1590,17331,2476,9368,1605,1625
39,1867,55,423,1266,0,4526,437,7868,1255,465,408,489,459,405,1461,8890,4831,723,2348,72,1248,564,4199,798,1183,1008,335,505,1384,193,1204,2826,164,1766,1593,412,189,66,478,727,656,725,241,15286,756,603,1165,1452,282,3991,676,89,130,0,865,558,385,185,217,810,254,613778,1783,1283,53,563,621,7309,2805,107,745,1466,558,1784,1010,9
40,219,103,1327,1128,938,5658,19,8720,3921,459,4449,506,62,548,6042,4689,5641,0,5347,1969,3601,4453,7750,3433,7271,3,346,434,1729,1177,0,2149,818,4142,2259,291,1431,681,546,1201,176,1101,2224,5,445,1874,0,120,1827,2988,938,437,1299,0,606,6,1341,678,239,1395,1706,335329,376,1514,533,720,2742,10264,1688,277,1049,6715,4005,2308,1,477
41,277,1052,364,10320,1559,5220,7396,14379,2268,469,1060,703,6287,3397,4816,8630,951,476,2747,1100,2322,1244,3369,284,1475,699,695,8694,1783,263,956,3139,749,1479,1277,935,589,1107,1253,1839,1512,556,477,21228,6659,968,209,99,704,510,1001,992,766,47254,5908,1021,2304,2319,1104,1131,2087,309295,815,2508,1125,333,242,3364,2584,729,951,2554,1187,1015,381,274
42,1589,1746,2663,1661,1714,22091,971,29063,4017,2344,2127,4167,1322,4578,8318,21744,4467,2522,10093,1156,1796,1248,3305,353,1367,687,1731,1508,4536,5729,1958,8465,3923,1576,6238,5630,2920,1442,3896,2255,1365,2297,1197,9128,18917,855,2455,3269,1810,4906,3103,2476,3964,1,6309,5171,1548,2792,1700,1046,966,142965,1184,1204,1713,2982,1259,9019,5802,1336,1892,12873,1497,4399,2041,2967
43,1784,68,125,702,5,1465,1223,1458,1837,7,192,784,0,0,428,2292,112,2,1910,1,7974,2093,7765,1328,4723,0,70,715,347,44,5,524,0,76,0,868,582,0,377,48,31,0,564,39004,111,4,0,0,83,65,45,942,88,0,173,450,594,1152,224,850,838,166297,742,153,6,0,70,1607,1349,854,709,181,0,79,467,0
44,913,145,748,701,597,4138,635,11312,1296,332,1262,400,964,1271,2816,6102,1405,381,5433,298,1158,949,2348,384,1162,363,0,152,1326,619,101,1345,406,281,2382,539,556,143,1254,1115,468,695,26,523,2033,326,1595,536,225,1972,183,1121,1370,0,914,887,914,1094,285,0,51,11405,574,273,494,550,152,642,561,628,109,901,613,1404,935,202
