,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
14,1892,1054,0,1,275,1737,56,4,1191,9454,1197,279,2765,359,0,0,4632,3,1152,0,1230,292,0,7,28,3397,463,203,1852,3413,382,794,2250,792,1,409,1283,0,427,1134,161,123,555,1,1748,259,52,1078,694,334,5823,1882,61,0,2767,2995,0,0,7468,0,0,0,448,18,570,2,2437,0,223,12573,512,0,58,0,579,930,1527,2,3416,3,1297,318,0,654,797,223
15,1566,620,565,20,1,226,149,0,576,6621,788,3,381,192,1,0,2221,1,0,0,822,524,0,241,310,3657,668,613,3357,3013,280,863,2037,188,0,604,218,2,285,213,0,474,572,0,848,470,4,907,720,1036,3053,979,77,324,1577,2464,0,1,3229,0,2,1,221,0,1,11,2367,0,0,4520,1411,8,92,0,810,0,455,3,1733,1,306,1207,2,261,565,194
16,912,503,3,0,0,995,319,400,669,6349,1656,675,395,19,1,0,2672,13,1020,0,188,1079,0,115,1356,3539,458,890,2359,5274,1331,385,2943,461,0,484,655,1615,377,413,22,90,555,0,2304,1255,2,746,238,1715,2927,1301,604,1,1528,2044,0,0,4284,0,0,0,1448,0,233,0,2848,0,0,53056,2179,0,144,25,454,1373,293,0,1410,0,2386,266,0,628,645,3
17,4534,2008,950,0,438,1575,140,2048,2007,20556,2351,139,4185,1452,0,0,15356,0,1708,0,2027,191,0,532,10703,1918,359,417,1253,1873,205,380,3099,1774,0,2031,1255,2075,1448,2539,792,255,2148,0,2403,1021,320,2358,1854,1052,12422,2339,6633,308,6840,6518,0,1195,7244,0,0,0,2572,1,680,0,8340,0,158,145236,1918,0,290,193,3982,1802,5548,0,5446,0,4059,663,0,2146,1318,504
18,2752,796,503,0,0,2632,761,348,416,9840,1780,238,282,1204,36,0,6224,0,1905,0,801,2801,0,602,1385,3361,571,677,3082,4187,290,988,2806,2112,0,672,2029,520,305,2299,0,1615,591,1,2321,597,64,2178,753,1729,7511,514,314,1006,3153,6145,0,429,6250,0,0,0,726,1,452,0,3261,0,189,121312,2505,348,129,10,2963,2917,2367,1,1705,0,8649,0,0,539,1281,624
19,12172,1016,0,0,1003,641,2449,3380,3507,44425,3750,0,3469,770,0,0,16451,0,4651,0,2753,3226,0,409,31936,9051,1377,995,6231,11967,793,1780,9022,5189,0,10376,4423,2647,654,7907,148,731,1698,1,2424,1885,610,3409,5005,75,14007,2692,18629,1511,5581,15406,0,591,16263,1,0,0,4902,0,537,0,10441,0,0,165063,536,0,625,3014,8285,6258,5855,0,7393,0,16783,739,0,967,10240,2520
20,1223,318,1,0,0,359,648,7,374,8914,2856,96,469,705,0,0,2909,0,1222,0,995,940,0,168,2208,3778,624,436,2167,4131,0,415,4382,596,0,867,1979,311,105,1275,484,439,1177,0,846,523,285,1477,524,959,5213,504,2322,0,1329,3418,0,106,3269,0,0,0,266,0,305,0,2702,0,138,96893,3266,259,141,0,1195,963,826,0,2081,0,3896,627,0,536,1308,438
21,2451,1641,469,384,0,317,426,933,878,15055,2736,322,3242,704,506,0,5314,0,2004,0,982,2184,0,645,2039,4854,442,990,3942,5573,216,911,4524,3480,0,1241,622,757,547,918,35,72,1709,0,3492,1571,660,1111,856,1777,4001,1412,1911,224,2657,3427,0,443,2313,0,0,1,2380,0,483,0,5763,0,1,99694,1658,1,130,289,3506,3901,3354,0,4225,0,3790,2638,0,398,6095,365
22,3444,2126,388,0,0,1524,804,1375,477,8820,1257,520,2307,33,204,0,7644,0,846,0,753,687,0,495,7410,1728,288,277,1800,2942,239,459,2899,1824,0,1177,351,2,201,546,588,0,604,0,502,1184,565,1485,1628,1505,8661,944,2931,757,647,2239,0,0,3094,0,0,0,547,0,118,2,3290,0,1,73196,1029,816,47,394,2347,654,2053,0,3086,0,1330,1590,0,649,513,204
23,1327,622,214,0,8,241,257,461,782,4940,2068,1,1,497,3,0,5923,0,1843,0,447,46,80,396,992,1355,191,254,826,1432,124,544,1508,867,0,1025,433,3,645,574,0,246,1424,0,2183,686,61,666,411,420,940,1221,0,563,2348,3300,0,455,5074,0,0,0,711,0,84,3,3838,0,0,10387,1922,0,275,1,2793,787,626,1,1469,0,2098,380,0,365,449,277
24,715,1317,132,1,0,235,444,471,106,1476,1222,263,1,1054,1,0,1567,3,785,0,56,777,2,0,1635,1165,149,154,921,1809,326,396,1333,485,1,935,888,4187,107,195,188,388,414,0,242,397,0,1606,527,459,1384,241,801,203,1453,3240,2,156,2099,0,0,0,646,0,260,5,2287,1,1,34976,133,1,0,847,2201,642,1025,1,246,3,619,391,2,360,774,109
25,2808,323,545,0,222,28,652,2335,1289,13848,1155,0,3422,366,0,0,6084,0,1446,0,1244,921,0,165,15,3488,474,426,1750,4030,503,667,2469,2591,3,1841,768,99,249,737,494,10,850,0,1632,506,551,783,1543,617,6391,2029,632,263,2031,3853,0,27,4232,0,0,1,235,1,597,0,3513,0,48,84910,1143,193,369,1,1575,310,2115,0,3436,0,1600,682,0,927,1464,374
26,6847,1609,783,0,0,2121,931,877,1071,18799,4467,460,928,2039,0,0,9959,0,1966,0,1338,5198,0,327,17011,2715,458,210,1331,2992,554,405,2232,3292,0,1480,1967,9149,840,1632,689,1715,1854,0,1053,1686,857,3008,1324,2156,9015,2204,7238,288,3629,7775,0,383,10788,0,0,0,1986,0,430,1,8019,0,0,150036,2994,143,162,498,3923,1798,3756,0,4482,1,6450,2255,0,1990,3732,745
27,765,234,185,0,0,432,447,320,594,3114,613,0,151,322,0,0,1472,0,338,1,952,234,0,401,21,2857,549,281,1441,4322,0,221,3251,425,0,482,826,3,257,651,433,8,5,0,303,4,0,21,163,114,1647,138,146,49,1035,1156,0,41,2683,342,0,0,566,0,0,3,682,0,0,9655,223,0,60,25,312,423,1052,0,579,0,466,67,1,140,287,148
28,2078,966,0,0,0,544,34,1622,1228,8970,1024,1,705,879,0,0,3304,0,2760,0,517,780,0,1135,3787,2732,375,354,2326,3789,189,1115,3115,1092,300,1487,434,8821,554,2304,407,1494,1055,0,1427,1138,67,307,779,877,4594,2429,1050,390,1492,6109,0,0,10340,1,0,0,1750,0,1289,1,9653,0,0,138593,2403,0,752,257,5008,2300,1276,0,1950,0,2004,920,0,911,834,1144
29,10137,5471,768,181,0,681,2305,745,1308,11293,2706,253,1388,1577,173,0,4287,0,1792,0,552,2358,1,117,5595,3062,312,324,1785,2745,100,934,2160,3643,0,2733,839,7084,788,2099,335,1284,1238,0,2166,2356,271,2912,1937,890,6377,957,6245,296,4439,10539,0,698,16311,1,0,0,7588,0,212,1,9496,1,0,282069,3164,79,388,1262,5349,4836,1819,1,1686,0,1473,3325,0,777,1239,474
30,1933,1507,575,0,0,643,492,1524,1836,7390,2145,1,0,662,0,0,5680,0,441,0,394,370,0,258,771,3929,469,170,2150,2476,266,553,1901,362,0,867,662,1,1059,903,291,928,1002,1,1320,1941,143,927,272,902,2854,2020,277,435,5211,5071,0,680,4229,1,0,0,412,0,146,4,2289,2,0,20012,2776,72,105,0,5864,634,727,0,1747,1,5250,381,0,900,1206,347
31,800,542,2,0,0,298,137,0,433,3999,725,0,0,0,0,0,387,0,878,0,121,0,0,0,1012,1987,671,499,3026,4793,172,1277,3681,225,0,398,278,1890,473,342,0,68,85,0,734,146,34,402,428,0,1281,527,0,44,2246,1793,0,29,7,0,0,0,473,0,76,1,1601,0,0,20898,82,0,0,0,764,352,397,0,1401,0,1032,524,0,508,523,250
32,2296,445,293,0,138,412,332,127,901,9400,1716,645,241,600,0,0,496,0,395,0,426,1828,0,6,1770,2364,544,277,2607,2807,171,893,3286,739,0,0,246,314,1400,484,66,823,221,0,88,1588,803,363,365,1681,3302,1114,64,8,851,3557,0,128,7263,0,0,0,621,0,393,0,2452,0,0,72837,510,0,238,351,1853,1777,1748,0,711,0,6358,123,0,329,1340,18
33,5110,1470,695,0,0,2950,803,1196,2144,22193,4130,441,0,1696,186,0,11090,0,3500,0,889,5610,0,230,6885,2708,361,265,1793,2875,1,551,2751,3667,97,2692,1243,1513,1592,1676,23,1289,2101,0,6373,1582,256,2456,1426,1613,5404,3348,1069,1111,6238,11288,0,1047,9439,0,0,0,989,0,595,1,7616,0,0,90464,11077,0,575,277,10508,2629,2664,0,2965,1,5528,2354,0,1056,6812,1203
34,1828,1269,486,0,0,289,631,478,1330,21634,3135,0,0,762,348,0,8851,1,1363,0,1157,2031,0,594,1514,5998,663,671,2251,5420,0,395,2775,1416,0,1419,613,0,673,615,0,784,969,0,2675,944,0,1851,1339,211,4910,1792,1,199,4957,5244,0,224,6699,1,0,0,393,0,850,0,6799,0,244,25265,2592,0,567,0,6535,1359,1001,0,2321,0,7648,516,0,907,531,70
