,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
16,34575,881,10860,134,315,14936,807,4606,1,18179,196,10856,10447,49641,1503,1729,42,1694,12406,3539,122,160,0,256,1093,3224,1768,0,579,1774,179,406,6398,3677,49,1,552,2207,3523,2820,0,1092,638,4148,4376,2101,821,344,10203,17084,0,56190,59252,153,4329,385,4438,4165,2625,100799,8760,3757,241,8077,639060,2823,5289,5038,4677,417,5258,1829,28535,53138,2341
17,6,0,2,0,5,0,0,1,0,1,1463,1315,0,0,0,1,1,0,0,17705,183,5733,2156,1654,17354,27577,1730,6587,8974,17988,3532,2720,6,0,0,1,23,4,0,0,561,0,1,4,2,1,0,207,0,0,0,8,4636,0,0,0,0,1,0,2,1,2,0,115,23742,0,4,0,0,0,1,0,1,194,0
18,311,0,0,0,1222,0,1,1,0,835,98,0,0,0,0,0,1,0,2,2621,163,164,526,77,1370,3747,279,179,358,3001,324,178,4,342,0,1,1,1,0,0,0,0,20,1,1,164,97,0,24,0,0,5,0,0,0,0,183,323,29,0,124,0,0,0,13778,2,0,0,0,0,432,0,1,0,0
19,5598,1,11223,1223,610,2582,1320,88,3366,2188,1,962,1738,12380,205,1529,1708,1328,1884,885,0,404,11,250,1516,2342,0,1,562,1930,383,268,2246,3924,1357,3766,9967,1397,368,2470,5093,3364,2091,4654,4107,1738,389,0,2329,7057,3129,7048,14485,3924,426,123,3139,1981,1105,36601,2314,17220,3093,1829,187910,437,3183,1298,691,343,1744,13837,2770,12018,2431
20,95,204,0,0,4,0,0,1,0,1,2726,0,0,1,1,0,0,0,7,11480,1148,2244,1171,785,8432,14187,3932,771,2844,13170,949,1850,2,0,0,1,777,1,0,1,0,2805,1,1,1,0,121,18,0,1,0,3,0,0,0,0,0,3,0,3,0,1,1,0,38510,0,0,0,0,939,0,3,2169,0,0
21,12539,1229,25096,5393,4123,11394,7142,2587,21220,4497,191,8362,3047,27050,1294,5404,8315,3126,7378,3884,215,468,764,396,3907,10324,669,61,968,6174,231,265,6146,8029,3571,101,26106,1271,2139,5646,11704,7594,4034,3549,6853,3699,1292,0,6297,18593,8313,5427,27969,8508,6577,2488,6811,6564,3077,99951,7008,33690,21856,4649,155477,3788,14105,3297,7495,0,7479,57370,5231,24383,3516
22,6250,463,15097,4677,1119,8022,3930,2508,2994,3285,0,5231,3459,16269,933,2811,2908,3261,2168,1562,0,381,263,456,1239,2347,0,0,251,2173,160,182,3165,5139,2968,1000,16034,1260,770,7098,8856,6442,4438,4221,3020,2969,503,0,4198,12516,8003,6035,18437,3719,4005,579,2402,2648,1541,54528,1401,34147,12605,2982,253349,1097,9067,1911,2953,0,2952,24392,1054,12321,2074
23,17531,24656,1103,0,15517,0,1,14456,0,2064,0,17093,0,919,339,717,0,0,2826,14890,1439,1352,995,959,10758,31965,0,3,6413,11582,812,1762,1865,258,3003,2,0,6056,7206,100,20,8347,0,1751,6815,3036,0,0,4873,0,0,54,0,0,0,5,3028,3667,4208,0,1005,0,0,191,14236,2,0,317,0,0,3234,0,10127,0,896
24,3476,0,5275,0,3,0,2619,0,1350,0,0,7118,14,6279,5,1,973,0,1,2,0,5,0,0,1587,8797,0,0,1,1560,0,0,2616,3,0,3068,10014,1,0,841,5922,1,2017,12409,5894,0,2360,0,1638,1,10286,13148,58,0,7425,0,0,0,1,22576,1,9410,5441,7404,217371,0,0,107,1588,0,6032,7514,0,4,0
25,1149,0,3180,684,209,2174,175,1070,949,1565,0,1346,1311,5762,216,1227,801,823,944,1463,215,136,188,89,756,2683,515,0,767,1499,5,123,1262,1348,1415,3246,3898,431,291,2015,1159,1310,1248,2607,1015,838,297,0,1273,2939,1853,4365,5942,1694,1116,0,262,1272,434,20044,430,2644,2438,66,68567,503,1966,627,331,0,1054,8336,354,2302,389
