,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
19,376,1816,0,0,0,397,883,31,664,2028,282,0,149,539,1261,1096,0,1269,390,2149,695,0,824,945,1728,0,645,2591,19,196,1,1,1,1150,0,0,0,2,1968,1357,254,206,0,0,5741,1,795,1714,0,8,101,0,0,110855,718,1,518,1905,1421,1434,418,2,694,0,391
20,538,1057,0,0,1,1,6040,353,868,4174,8386,0,0,7497,4407,862,1,6560,89,4113,2098,1,1741,3193,361,0,0,9541,5039,3034,552,0,3,5041,0,0,34,6863,13048,684,0,0,0,0,75794,0,10156,7574,0,1,1,0,0,177520,10241,0,0,3799,8490,0,1122,1,0,0,3014
21,906,4150,0,62,1,713,1992,2134,4785,3407,1621,0,1118,1875,2452,4372,0,1867,879,3735,263,0,150,1118,3821,95,229,3001,492,821,1312,0,560,3009,0,74,0,1240,2002,2644,2354,0,0,0,3381,0,2620,1000,0,0,1162,0,302,87898,3038,0,1516,1556,1160,2086,570,0,1444,1096,1195
22,465,0,0,0,3,3,731,0,1397,965,315,1,2,45,85,1272,3,418,1,180,160,0,282,1353,205,0,506,713,583,1,318,572,2,852,0,0,0,173,695,0,0,1,0,1,3727,3,810,1356,1,5,101,7,892,19498,0,1,18,758,0,29,1092,9,2,5,584
23,2964,7186,0,1271,1,2718,3885,3413,5856,2891,1130,0,0,2579,5107,4919,0,8179,107,8961,333,1,176,808,13294,11,2646,5424,740,641,923,54,1192,7834,0,0,0,6725,2669,4222,1354,0,0,0,7030,0,1798,3684,0,0,1772,0,4,428521,4766,0,41,2724,1427,2261,1469,0,1848,23,1793
24,151,1003,1,0,0,1142,1607,129,36,1271,692,0,593,582,1552,1511,33,1702,0,1310,777,0,0,2807,2139,0,778,2203,1,143,2,1,1,473,0,0,1,17,626,138,982,8,0,0,12889,0,1827,1822,0,0,1,1,0,58670,0,0,576,2946,383,1379,466,2,260,0,705
25,17575,9885,0,278,1129,5069,7721,4656,22194,8856,2343,0,3,3048,4825,19114,451,10700,191,6496,665,790,1067,2211,12790,556,3045,6395,713,936,2189,0,3234,17765,0,0,0,7597,9761,3592,6722,6,0,0,36264,838,11893,9351,0,0,2416,0,204,677434,13142,1,5111,6753,3146,9210,1997,4,2220,3137,5597
26,2817,1,0,0,0,9560,4954,230,2843,8510,1411,1,0,3013,9368,15032,0,11342,4281,8130,2621,2781,0,11855,6870,0,10996,11213,295,983,64,6895,59,4915,0,0,38,4270,3444,8531,4331,0,0,1,42306,0,3094,8748,0,1,5654,0,5,1323632,11657,0,2369,15670,2289,14034,214,0,11,0,6673
27,1647,4302,0,0,0,40,2589,1174,1,2963,239,0,2,341,144,1724,0,1532,1500,821,304,0,353,1274,1936,0,1,3684,1,0,679,37,218,745,0,0,1,837,1351,2352,0,0,0,0,8808,0,1402,1851,0,1,736,0,0,266609,675,0,2407,1607,1176,519,48,0,392,734,537
28,199,348,0,61,0,627,674,364,466,828,194,0,0,109,112,850,5,175,660,796,97,0,114,497,1040,225,105,1172,221,100,176,75,102,404,0,0,5,300,369,411,516,19,0,0,3745,0,832,1045,0,0,10,0,68,8326,1023,0,235,705,1521,574,42,0,100,55,156
29,66,882,0,2,0,1,1306,512,1205,905,139,0,0,469,1326,944,0,1426,2,1438,256,0,167,1092,630,1,538,673,0,289,4,102,1,277,0,1,0,769,69,154,852,1,0,0,2428,0,11,561,0,1,444,1,0,31167,277,0,1481,484,1930,1583,176,1,128,703,362
30,1733,6623,747,380,4,2602,3869,5817,12963,3221,2587,0,853,1073,3128,6189,645,2977,6910,2350,198,467,279,1756,3592,169,540,2069,157,181,1529,1,898,4621,1,0,56,1805,2169,3822,2227,10,0,0,4194,0,4171,786,0,0,2369,0,101,39272,4560,104,1841,3026,6134,2011,1241,0,1278,1326,1889
31,293,704,0,24,2,300,958,0,221,554,467,0,0,512,879,2165,321,1050,435,3187,723,0,1,901,2,0,1,1601,0,85,13,218,434,85,0,1,0,1097,11,412,920,0,0,0,8579,0,3994,2642,0,0,0,0,0,81959,1498,368,352,528,1844,127,173,0,1102,471,801
32,3415,7613,0,101,1,1477,134,2654,375,20903,1089,0,0,510,7783,6270,1,16769,1904,12224,2665,4886,0,3734,2487,0,1733,678,1,1317,7807,1,102,6342,0,0,0,10311,2869,1431,9167,0,0,0,43187,0,17188,6159,0,1,0,0,0,571335,3340,0,4314,14822,5272,5770,0,0,0,92,3323
33,517,888,0,2,2,458,1012,1046,5331,1690,1938,0,0,419,351,1573,0,1574,1942,2084,266,0,290,1044,1149,0,1,2708,0,201,17,227,117,1164,0,0,54,1260,2787,1146,847,0,0,0,11148,1,4016,1241,0,0,681,1,0,110858,836,0,343,852,1740,2338,7,0,508,85,1550
34,233,65,14775,0,3660,3793,1,3351,115,5353,3959,1,0,2074,0,4545,0,0,2719,30549,2047,4353,809,18048,52686,0,8976,18282,1383,2215,3,840,596,1712,0,0,1354,0,1146,1818,3113,6676,0,0,22709,8139,0,0,0,4,1,0,0,74921,6941,0,34,151,11098,2250,618,0,0,0,805
35,124,1980,0,0,0,58,2212,548,1980,1926,777,0,276,492,1536,3353,0,992,796,4139,646,0,734,1173,3386,0,0,1541,821,442,708,0,324,1000,0,0,0,1198,21,421,2045,26,0,0,10896,0,0,2184,0,1,119,0,1,61161,959,0,565,2642,2766,1665,0,1,202,746,1365
