,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
13,4838,2141,15299,3252,351,6434,4682,1498,1346,4678,2601,568,1459,4760,20588,1604,1724,1711,604,1060,603,2970,483,1804,2822,5517,1504,3132,8364,2412,3518,6291,3633,1637,5857,471,3560,3164,2188,1703,2227,3606,1330,3218,6154,6135,7713,495,17730,6523,3357,993,2633,1608,2038,4916,1873,71941,2640,2701,6038,5523,600,484896,1740,3356,3014,5895,1262,3573,4222,1657,1010,4096,1544,2837,49033,2592,3984,22135,2492,2041
14,5259,2157,16901,3478,3,5710,2233,1970,3374,12398,9876,3698,6117,10168,28110,2854,3907,2321,4427,2443,1413,3235,864,1010,4473,5991,1237,3307,10499,1038,4088,6812,4721,1367,5568,2648,2587,1927,3612,15,3880,5782,1716,4624,8382,20000,7225,1434,16096,7351,5046,1851,1538,3493,167,2359,2333,93221,3094,2257,30648,9242,2857,215681,2111,5269,0,8303,3954,7363,2926,1344,1686,5243,1670,3353,43006,1240,4054,19391,2008,3091
15,30,24,0,0,6037,71,0,0,0,0,0,0,3,0,0,0,0,1,7,13193,4987,27775,4958,18119,3184,0,0,0,3949,585,0,75,7,0,1,0,28,0,1,0,2,15,0,0,0,0,10,0,2985,0,0,0,0,0,33,0,0,0,0,0,1,23,0,220615,0,1,3,1,1044,0,0,0,4,0,426,0,2,0,1526,0,0,0
16,5,0,1284,0,1690,0,0,2,0,0,1,0,89,0,218,0,249,0,0,16924,7048,27830,8629,14575,3,0,0,0,4429,0,0,10,0,0,4,0,693,0,0,0,1,1,0,0,1,0,15,0,15186,0,0,0,0,0,0,366,0,1,3,0,0,0,0,234216,0,0,0,149,0,0,0,0,0,7,0,0,1,1,1,0,0,0
17,6834,3340,11812,1383,1,3314,1811,1543,1906,1936,12103,3184,5667,9126,38283,3039,2493,2284,3671,1848,916,2470,184,1850,4270,1680,1272,2773,9078,1633,3163,1770,3569,2437,3347,4095,4753,5861,3723,2720,1751,4506,2557,4435,11062,19734,15159,1546,18158,11821,7439,1363,661,3963,1389,2399,3275,100102,3476,1729,24749,5334,3044,213790,3088,1028,1,7646,1537,3646,3171,3045,1677,7135,2392,3353,12887,2520,1089,19935,3804,2981
18,304,137,965,734,117,219,445,256,266,1703,649,296,569,134,1789,565,244,503,119,720,509,1066,77,576,352,117,171,501,1881,125,1168,253,476,9,1,164,201,304,533,182,547,421,338,136,515,1127,112,46,2002,618,288,27,117,140,106,628,255,3864,36,86,645,560,93,2342,333,177,574,878,241,294,38,266,165,81,67,62,3759,50,376,1297,273,497
19,245,20,0,0,0,0,12,27,0,0,1,1,0,1,0,0,0,0,1,490,416,611,117,584,1102,0,0,0,122,68,1,0,0,0,1,16,45,92,167,0,40,3,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,8460,0,0,1,0,4,0,0,0,2,0,4,0,0,0,51,1,0,0
20,5856,1102,9744,1263,5420,3541,1168,902,813,8466,2161,432,2788,1760,9114,1741,1677,2761,2709,1029,1012,2422,546,1423,2307,2018,1033,1594,8250,461,4168,2713,1954,761,389,1208,826,1285,1135,2693,569,1697,634,792,7038,3788,13403,1345,9538,2945,2276,931,1251,1542,1104,216,1946,30368,1019,421,8293,6570,1862,162945,1439,1850,0,5064,1583,901,416,917,761,4274,785,254,13195,1169,3217,6319,2259,1037
21,16313,2248,10521,4283,35,2422,574,4291,1719,11770,4022,1414,3122,4652,12314,2354,3167,4904,2163,2022,1298,4556,746,2317,2472,2671,1276,3058,17277,1124,2677,1967,3430,54,1823,515,4078,4407,1090,3644,2565,2760,1367,1053,10481,7483,24443,1680,14259,4860,5570,1231,2159,1588,2113,4456,1777,43150,1011,1322,4625,6836,1300,294886,397,3065,3220,10823,2951,726,586,3282,1941,2019,1468,1060,41009,1228,6909,21302,492,2770
22,2523,1773,5322,663,190,1062,311,523,1334,976,6432,1623,2772,2474,15876,1198,946,1217,4538,528,412,692,179,475,968,349,592,1183,4661,886,1041,21,1465,257,1799,1160,1796,1869,1100,311,956,1975,1482,704,7275,11624,14317,1125,13420,3565,4458,333,167,2575,468,1242,1710,31929,713,781,10790,2252,1308,84774,658,710,2,4497,658,199,196,1514,420,2397,405,892,4573,1074,570,3320,632,2116
