,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
12,3260,904,242,92,397,2232,724,587,0,195,972,8789,325,1038,1604,465,0,1448,4795,0,1583,334,717,1,1488,2731,1242,2960,926,2775,645,95,2039,73,410,5011,1315,300,534,889,3020,366,74,334,1042,275,896,399,152,586,1801,2859,355,3268,344,630,1022,3281,181,2318,7635,1715,7207,176,236,123,249,669,402,3056,59130,423,391,2388,405,488,338,240,80,1398,1062,52,80,693,148,0,1266,792,361,1585,1160,23,615,773,685,2386
13,3840,3793,0,2184,1567,2476,1969,0,1549,2207,486,5620,1103,1746,0,21,307,1024,5463,214,708,485,3022,6788,5968,2882,2699,4542,431,1537,2731,3920,977,1095,2705,14002,744,910,976,701,733,31,2215,2335,403,2505,1816,485,2062,2,1776,5719,923,5540,3689,488,0,0,329,1665,5661,1094,8313,805,5855,5722,220,886,1356,9291,249021,2538,708,6314,467,2422,260,1080,3075,2367,822,993,1466,2061,603,0,461,1106,718,3535,395,1241,0,736,2238,117
14,343,237,385,1,974,0,92,0,0,388,1211,5763,2,856,1200,385,51,247,2912,526,871,634,0,0,632,3982,2234,3589,903,4095,878,0,385,0,56,4,525,2,0,13,984,8,645,12,19,155,282,1938,1,452,0,4506,1188,0,1,155,7,367,288,1353,3076,536,1461,704,1010,2,498,1287,0,2151,38224,437,1,66,1,0,1,15,501,840,672,153,0,0,262,1,0,3327,114,1006,0,174,1,321,523,452
15,6870,2664,895,658,2757,1323,1024,1087,0,1800,5877,21375,911,3965,0,1076,4237,1744,16428,1606,3806,815,588,0,4900,4037,3182,4459,950,3362,3204,1397,4485,1642,2072,0,1324,2008,2583,2603,7870,5577,2238,2771,0,2840,2460,2271,572,3418,4413,7363,4366,466,55,852,627,0,932,9031,17033,4299,14036,1724,2323,228,1282,402,1881,9559,70523,8112,57,10860,216,2199,4051,637,1204,2043,1321,986,374,117,1610,3474,1794,3539,1906,9330,1322,523,2292,1552,4907,1683
16,7352,3888,2986,996,8131,269,1111,2990,1290,2838,5935,22293,3559,3401,2298,609,2073,845,20632,1800,5985,2623,88,836,9795,2530,1900,3555,557,2272,4519,682,5479,1458,2340,8983,2230,4952,234,1874,12534,5722,2809,5652,1960,2893,2750,3506,2859,5188,1657,26607,5869,7899,2217,1588,1742,2441,2181,10915,11993,2343,25476,1581,6641,95,5072,1644,694,16766,279732,2990,1327,5727,2136,1955,2791,429,756,9318,3260,2086,1514,1260,2783,1245,876,11799,1566,8484,2308,2502,1693,2424,4084,1331
17,3240,2968,89,304,36,1998,831,1130,223,762,1724,3911,417,2249,0,0,187,3367,4030,562,2598,322,730,1530,7565,3302,1962,7873,751,2422,782,43,803,256,942,16195,525,489,321,572,1362,499,1403,1561,388,456,269,1474,456,59,1710,1475,569,2033,1386,1204,154,769,234,3337,6453,1153,10797,339,1029,641,1158,408,535,6466,91043,297,1050,1868,1452,1586,1226,69,336,3475,655,1259,673,853,284,522,981,838,649,2133,597,193,2107,827,14,683
18,8854,1828,1135,305,298,1643,942,1958,372,1193,902,8873,226,1954,1093,963,2338,2709,8564,1227,2379,822,217,0,2784,1947,917,1903,625,1961,2762,183,1745,1397,3515,6002,1891,1632,554,4015,4254,2018,761,2771,464,1102,959,971,425,1011,3980,8756,1493,1509,322,989,1131,294,1841,7672,13285,2351,13654,830,981,108,2000,884,1135,16646,143566,1138,640,2796,2091,542,2110,844,160,4623,1188,1415,1513,21,2358,216,16,1986,1041,1847,726,424,1143,1166,2189,916
19,3089,699,407,1019,1024,1378,566,935,113,890,662,4286,370,420,0,220,3,698,1797,808,396,63,741,127,2626,1459,1386,2344,605,1649,734,441,1867,132,1031,2477,341,323,257,599,1012,326,417,1764,195,308,654,1720,334,970,1577,3663,921,953,435,592,437,0,179,3777,4686,730,3222,60,655,35,731,724,346,2521,75057,432,824,1874,244,31,674,462,81,3611,209,141,559,171,1009,1011,430,853,625,1063,160,200,750,482,1493,972
20,2653,1018,639,617,239,1910,161,299,1,264,1910,9617,164,1591,0,121,205,217,3181,602,2461,161,272,37,1453,1656,1382,2212,727,2575,325,20,840,453,978,5135,817,638,1658,1608,1456,790,188,1317,11,291,571,604,232,510,933,1430,577,294,115,273,9,256,289,6077,10905,489,5848,348,767,93,1988,644,388,4447,85787,279,390,706,346,640,935,632,402,1386,194,290,61,225,863,2825,147,626,298,2349,479,224,645,298,821,449
21,11476,4294,1259,1710,3720,943,1293,3511,493,2130,1781,46060,1970,9439,7696,3143,2347,2781,16733,3789,4216,4777,7947,4891,24287,9087,4166,5241,2119,3780,2995,2053,3700,939,3812,5418,1601,6201,939,2395,3231,1541,4766,4457,4995,5980,1531,6947,2955,2169,5011,28228,5332,7049,4175,1658,2625,1204,1865,4753,9844,3715,27483,2568,9288,628,3266,4031,720,17270,474905,5366,444,18144,5210,979,6263,842,3163,7488,4903,1130,481,2114,1189,1480,1291,13203,942,18791,1099,5221,6023,4061,18970,3337
