,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
16,8390,6708,1424,3898,28896,32457,0,5892,4509,3461,316,1630,0,1478,15757,0,13618,20660,479,13786,0,0,5468,1266,9180,3325,3063,1588,0,0,1,1514,8134,14,17540,2688,3958,4455,2915,4802,0,2377,1378,1469,0,2003,1,4342,1,0,288,2007,14127,0,1415,1990,0,2387,3367,3789,1435,664401,500,1119,20057,4615,0,150,0,23003,1,0,6975,0
17,0,337,2,288,837,3426,0,81,89,67,27,136,0,443,1263,0,702,969,148,2526,0,0,1485,578,1043,495,701,227,0,0,74,336,486,363,73,113,79,473,196,477,0,334,169,74,48,686,0,175,1,1,5966,562,244,1,133,406,17,771,377,549,22,39320,10,15,408,704,101,0,270,434,94,0,287,0
18,223,453,4,8,3149,18626,0,1544,831,242,55,0,0,2483,2313,0,4549,1055,0,6477,0,0,6849,2980,6164,2229,4929,109,0,0,1,699,1402,1862,1320,135,224,1279,1413,553,2,46,291,570,0,968,0,57,1,1,21800,3174,1772,0,2081,1511,230,5220,730,2535,108,111731,1321,746,1884,2361,0,0,723,4404,85,151,1749,0
19,2810,1352,1333,3505,25221,31210,0,6671,2908,3141,840,899,0,2941,10820,0,30984,12057,122,20002,0,0,2490,1567,1972,140,1866,1444,1,0,0,1473,3632,3746,4143,726,1157,2687,12749,6087,2,2283,3426,8674,0,2424,0,3961,0,0,21077,22859,3054,179,8042,6988,0,5547,4110,4609,3518,155354,3210,2091,5598,2982,1507,0,86,5910,94,691,6131,0
20,17,9893,3248,1328,2884,36726,0,3180,1272,919,1346,951,1,3310,15282,0,3515,6842,951,15515,11,1218,3863,1118,4675,1236,3390,10279,0,0,33202,2943,2598,730,562,2444,917,1621,2741,1758,577,4598,2781,0,0,2226,7425,2333,0,1,57480,16734,2275,1,4147,488,625,3519,1885,1816,1824,504288,692,2,4708,4050,0,0,1037,7494,8785,1402,1054,818
21,721,627,1597,1214,7523,45455,0,4518,1342,8334,2773,554,0,5049,7185,0,20929,10758,318,8980,0,0,4725,1578,5468,1448,2361,774,0,0,1,1225,2250,2691,7648,651,5088,4614,11448,3218,0,931,674,3240,0,1602,1,577,1,0,26670,10007,5789,0,8823,7470,0,8043,1973,3571,4044,598252,2458,1947,13806,8648,0,283,1,17796,0,0,4433,1087
22,4,781,227,816,11263,7972,0,389,335,6,12,571,0,109,2163,0,7481,3061,0,3065,0,0,2716,1008,2817,113,3690,716,0,0,0,489,935,318,717,141,40,1061,16,78,0,776,0,0,0,531,0,952,0,0,5,2305,1901,263,839,56,0,493,463,151,70,15045,299,601,2338,589,0,0,1150,3916,1,0,2407,0
23,3149,2511,138,3471,28038,47271,0,6062,890,3153,677,1045,0,2555,8495,0,32547,9721,383,12312,0,1,4134,2011,6286,907,4348,610,0,0,537,1616,8121,6965,3720,642,3121,719,9060,6135,2,1,2260,6941,0,1120,0,4576,1,0,29031,24975,4389,283,4339,6925,0,9134,3968,10006,396,134806,4131,1942,12730,3875,1320,0,270,12143,80,63,6690,0
24,2239,1410,281,3949,22546,27035,0,3810,2071,1794,356,1044,0,2911,7430,0,20104,2421,865,6695,0,0,3630,821,4058,790,4137,1837,0,0,5,1341,3089,2818,5461,373,1279,1457,8610,3530,0,787,1201,3615,0,880,451,4931,1,0,44555,15088,1849,949,1495,4574,0,6942,4432,3915,2577,329234,2087,283,7827,3647,1337,0,1,4166,72,11,1230,0
25,6439,3961,1,2064,16075,32655,0,944,3544,0,1,2414,0,1,9781,0,15999,15122,0,14106,0,0,12950,3419,13923,4172,6044,445,0,0,2,2110,1382,10,7481,2816,85,2267,2496,5797,0,20,2330,0,0,1082,0,3396,0,0,283,2085,6515,0,1447,0,0,21,3025,4134,6584,553200,116,2383,21711,4613,0,0,661,24187,61,0,4208,498
