,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
14,1,0,1714,0,0,0,295,1,2,0,0,1,0,0,14,0,0,0,745,18519,10050,27563,4,7249,24822,2012,0,0,0,17145,0,1685,1,186,0,2,0,1,4,5,0,2,0,2,0,0,0,5,0,9252,0,0,0,0,3338,0,2589,1,0,0,0,0,20215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
15,83282,3790,18114,80824,10312,7808,27466,5308,10187,16364,32005,19636,52339,21010,102118,8882,21506,14839,13775,20500,7150,13131,11674,1859,8183,19436,14377,5300,4003,51506,11619,31334,29485,18934,13809,6713,19903,6584,16549,18953,14328,9760,32972,6450,27350,30390,27866,134744,13537,92799,30883,16414,13928,20445,7716,14391,281959,14978,9057,188545,57903,13845,1301172,14129,6068,23747,3910,20495,2602,12389,10652,24892,1257,5277,8238,120268,7635,27237,234547,17921,11159
16,32054,825,14183,115869,39713,2675,19490,9406,6236,9265,54969,20282,6431,25574,111535,15065,14884,21302,3616,8540,6675,10679,4591,1125,14373,21572,26500,10920,15333,118654,9862,28453,18862,29607,3389,42274,4419,8554,12077,19507,1007,25728,28723,10194,4099,60210,36071,29932,7667,122223,36990,27538,16009,5553,15665,14961,600544,14025,5402,1418,15200,11639,1027627,14458,9108,27353,18912,18049,5947,19234,15320,12168,13975,4532,14208,240839,1322,32119,59077,13265,16977
17,45103,1377,14306,103128,30564,2368,63616,16237,17227,21839,136647,43977,31130,29814,109827,21445,20972,25092,3056,17505,10363,17902,2075,4997,16088,19899,32459,18392,28577,101488,8076,45639,81386,33690,13233,36378,1413,11454,24125,35507,10479,15920,41798,4147,10774,96992,57439,36451,8551,169344,32585,32583,19665,912,38306,19246,716047,11910,24885,26903,79388,3646,1389786,24012,20981,43479,8135,35452,10157,15761,14168,21326,11215,0,19050,461413,3363,37993,137778,35367,21515
18,7302,204,92,4650,917,407,1710,553,742,699,4664,2261,1417,1355,5194,893,1531,1801,1709,1936,836,2021,898,1136,1917,891,1115,499,2171,6834,445,2757,400,1504,457,2563,1109,881,1578,1016,322,1527,2693,530,451,4355,3735,5346,709,7970,1749,2186,44,578,696,1463,29164,1588,1046,845,3939,1125,69340,1521,1133,2979,852,653,138,567,635,1477,147,770,979,12281,553,661,3045,624,586
19,6288,420,1422,5144,1331,1213,1108,725,1085,1731,5493,3376,1785,1146,7320,900,1272,1386,708,1032,781,2704,19,869,754,1558,852,874,858,4995,2223,1663,1634,1790,355,510,1370,1139,1191,840,619,1646,925,609,763,1928,4679,2888,855,5065,1092,852,1279,1267,178,1012,18384,1116,488,12379,5172,474,92209,290,578,3514,822,1700,646,130,1204,1477,267,1157,1010,10352,682,661,4746,680,1127
20,29053,57,2956,31775,2538,12956,12952,1106,4653,2867,21390,12163,9964,6979,31394,7087,8398,3428,4126,13385,8070,10822,22,1562,6752,6072,7915,1837,4003,40493,2263,7097,3329,7528,3391,1531,7108,15215,15012,6199,4001,4490,5222,3193,3094,23749,21776,29399,4287,41314,12382,5395,7962,2824,8526,2852,193894,5499,3051,38465,29535,3692,307569,5781,3136,17016,6500,19132,2124,5168,3681,5354,7575,4033,1942,39038,3358,6761,28931,4449,3776
21,71083,4623,35197,58851,9121,1,23654,4807,20099,19519,8379,74959,61733,56361,185921,13135,5584,12118,13389,7346,4017,11869,6954,1774,7893,8690,42628,1257,11751,38455,19468,12643,1584,6005,8504,34220,32895,8266,20662,22182,0,11615,21878,21713,34888,140025,138679,168943,7272,118878,59325,48891,16675,16068,13992,23881,578709,16762,8870,100482,21203,16954,1733063,16791,16043,39544,6603,8007,15522,13407,20144,45243,9636,9615,18690,68070,30491,13829,54315,10598,17399
22,34032,3897,1875,37049,8522,11181,11929,6868,2064,4614,23679,10915,8603,7207,44297,5235,10258,6187,2981,4676,2487,12227,2856,2494,6647,11493,16427,2595,6851,33977,2326,13952,21805,9318,4611,4714,2165,3547,10766,4707,8334,4256,14559,3822,4943,19435,11136,27557,4332,35144,5681,5044,6794,4121,8570,8499,120324,4475,1581,26424,19797,3832,313446,3816,9172,13331,6780,5069,2950,2713,9196,7959,6562,2960,1570,102043,2478,7014,53083,5992,4178
23,28146,1388,2462,27782,7355,1084,10627,2561,2678,4337,32364,8023,9798,10336,47503,4718,4476,7059,10656,7185,4325,4798,1205,972,5419,9667,9518,4727,6519,36213,2759,9365,7790,6902,3149,5214,1991,7640,4318,5596,4526,3866,6910,5567,4576,14234,20309,30308,3117,39718,11623,8808,4416,1685,3194,4120,150059,3637,2712,10405,11156,3496,625591,1764,5896,13240,3693,12882,1692,2577,4122,4696,3431,1347,6645,63877,3722,6153,32762,3738,3434
