,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
17,4534,2008,950,1,2048,2007,20556,2351,134,4185,0,15356,1184,1708,191,10703,1918,1253,1873,380,3099,1774,2031,331,1255,2075,1448,2539,711,2148,2403,1021,320,2358,1854,1052,12422,2339,6633,862,6840,6518,7244,145,0,2572,0,3755,0,1264,8340,0,0,145236,0,1918,1406,3982,1802,0,5548,0,5446,4059,503,663,562,2146,1318,463
18,2752,796,503,0,348,416,9840,1780,505,282,36,6224,1275,1905,2801,1385,3361,3082,4187,988,2806,2112,672,864,2029,520,305,2299,138,591,2321,597,64,2178,753,1729,7511,514,314,551,3153,6145,6250,0,0,726,0,1314,0,23,3261,0,0,121312,0,2505,344,2963,2917,0,2367,0,1705,8649,1584,0,737,539,1281,171
19,12172,1016,0,576,3380,3507,44425,3750,1187,3469,0,16451,1454,4651,3226,31936,9051,6231,11967,1780,9022,5189,10376,1009,4423,2647,654,7907,2,1698,2424,1885,610,3409,5005,75,14007,2692,18629,2050,5581,15406,16263,613,0,4902,0,1829,0,2268,10441,0,593,165063,0,536,735,8285,6258,0,5855,0,7393,16783,400,739,1,967,10240,75
20,1223,318,1,0,7,374,8914,2856,106,469,0,2909,445,1222,940,2208,3778,2167,4131,415,4382,596,867,308,1979,311,105,1275,253,1177,846,523,285,1477,524,959,5213,504,2322,260,1329,3418,3269,553,0,266,0,381,0,72,2702,0,0,96893,0,3266,2,1195,963,0,826,0,2081,3896,1154,627,125,536,1308,177
21,2451,1641,469,9,933,878,15055,2736,0,3242,506,5314,466,2004,2184,2039,4854,3942,5573,911,4524,3480,1241,715,622,757,547,918,300,1709,3492,1571,660,1111,856,1777,4001,1412,1911,363,2657,3427,2313,0,0,2380,0,1491,0,629,5763,0,0,99694,0,1658,842,3506,3901,0,3354,0,4225,3790,972,2638,969,398,6095,2
22,3444,2126,388,0,1375,477,8820,1257,594,2307,204,7644,237,846,687,7410,1728,1800,2942,459,2899,1824,1177,213,351,2,201,546,446,604,502,1184,565,1485,1628,1505,8661,944,2931,260,647,2239,3094,1,0,547,0,912,0,344,3290,0,0,73196,0,1029,610,2347,654,0,2053,0,3086,1330,784,1590,564,649,513,65
23,1327,622,214,0,461,782,4940,2068,111,1,3,5923,259,1843,46,992,1355,826,1432,544,1508,867,1025,315,433,3,645,574,124,1424,2183,686,61,666,411,420,940,1221,0,202,2348,3300,5074,80,0,711,0,643,0,284,3838,0,0,10387,0,1922,281,2793,787,0,626,0,1469,2098,604,380,690,365,449,177
24,715,1317,132,0,471,106,1476,1222,3,1,1,1567,298,785,777,1635,1165,921,1809,396,1333,485,935,0,888,4187,107,195,108,414,242,397,0,1606,527,459,1384,241,801,366,1453,3240,2099,307,0,646,0,450,0,73,2287,0,0,34976,0,133,0,2201,642,0,1025,0,246,619,504,391,16,360,774,93
25,2808,323,545,0,2335,1289,13848,1155,221,3422,0,6084,359,1446,921,15,3488,1750,4030,667,2469,2591,1841,80,768,99,249,737,214,850,1632,506,551,783,1543,617,6391,2029,632,1412,2031,3853,4232,251,0,235,0,452,0,332,3513,0,0,84910,0,1143,275,1575,310,0,2115,0,3436,1600,775,682,112,927,1464,158
26,6847,1609,783,0,877,1071,18799,4467,567,928,0,9959,1928,1966,5198,17011,2715,1331,2992,405,2232,3292,1480,478,1967,9149,840,1632,144,1854,1053,1686,857,3008,1324,2156,9015,2204,7238,806,3629,7775,10788,551,0,1986,0,1140,0,263,8019,0,0,150036,0,2994,374,3923,1798,0,3756,0,4482,6450,2333,2255,1545,1990,3732,632
27,765,234,185,56,320,594,3114,613,233,151,0,1472,78,338,234,21,2857,1441,4322,221,3251,425,482,214,826,3,257,651,10,5,303,4,0,21,163,114,1647,138,146,0,1035,1156,2683,0,0,566,0,374,0,212,682,0,81,9655,0,223,189,312,423,0,1052,0,579,466,394,67,0,140,287,29
